CGPA,Coding_Score,Projects_Count,Internship,Salary_LPA
8.5,85,4,1,8.0
7.2,65,2,0,5.0
9.0,95,5,1,12.0
6.8,55,1,0,4.0
8.0,78,3,1,7.0
6.27,51,3,1,8.5
7.99,67,3,1,10.5
6.4,55,1,0,4.1
6.32,57,3,0,6.0
6.43,59,2,0,6.8
9.87,91,6,1,20.7
8.6,85,7,1,17.4
8.19,84,6,1,17.0
9.03,79,5,1,16.5
7.52,85,5,1,16.7
7.9,76,2,1,14.0
7.14,66,3,1,11.3
9.85,94,6,1,20.6
7.49,78,1,1,13.3
9.55,90,6,1,20.8
8.65,92,6,1,18.2
7.64,69,3,1,11.6
9.08,91,6,0,16.9
9.44,86,5,1,20.1
6.59,63,1,0,6.2
7.82,81,3,1,15.0
9.33,70,6,1,15.5
9.16,87,4,1,19.0
6.2,45,2,0,4.5
7.1,69,2,1,11.6
8.93,72,5,1,17.6
7.22,45,3,1,9.2
7.76,71,5,0,11.6
8.59,80,6,1,17.5
6.9,55,1,1,9.0
9.89,92,7,1,22.8
7.43,79,2,1,12.9
8.65,100,4,1,17.8
9.72,93,5,1,19.9
9.25,85,6,1,19.1
9.89,91,7,1,21.2
6.06,52,1,1,4.7
7.13,49,2,1,9.2
6.85,78,4,1,12.4
7.29,80,2,1,12.5
7.06,61,3,1,10.7
6.82,59,3,1,10.4
7.31,66,5,1,13.2
6.06,55,1,0,6.5
8.6,90,4,1,18.8
7.69,71,3,1,13.2
6.21,51,4,1,8.4
6.0,57,1,0,5.1
6.21,56,1,0,4.9
6.35,60,3,1,9.3
7.0,74,4,1,12.9
6.52,68,3,1,12.1
8.66,84,6,1,18.7
9.52,74,7,1,19.3
8.27,52,6,1,11.2
6.39,71,2,0,8.8
6.84,65,2,0,9.0
8.49,79,4,1,15.8
8.71,99,7,1,18.8
7.51,53,6,0,9.4
9.38,83,5,1,17.9
6.53,56,4,0,8.5
9.67,73,5,1,17.5
8.88,89,7,1,19.9
8.82,100,4,1,20.2
9.87,95,5,1,20.6
8.7,74,4,1,14.1
6.91,63,3,0,8.7
7.04,78,4,1,14.4
8.96,74,5,1,15.8
7.31,81,2,1,13.9
8.92,71,5,1,14.8
8.49,65,7,1,15.8
9.17,100,4,1,20.1
9.65,65,6,1,16.3
9.42,85,6,1,20.5
6.62,61,4,1,11.3
6.23,68,2,0,8.4
9.16,71,6,1,17.9
6.67,45,1,0,4.7
9.6,100,8,1,22.6
8.93,74,5,1,16.4
6.68,64,3,1,10.2
7.27,65,1,1,11.8
8.97,89,5,1,19.7
8.38,63,4,1,11.7
6.7,67,4,1,11.8
9.12,60,5,1,15.0
7.14,66,3,0,11.3
7.7,69,4,1,13.0
9.19,82,4,1,16.1
8.31,80,4,0,13.8
7.67,72,2,1,13.0
6.76,68,2,1,10.4
7.37,50,1,1,8.9
7.56,66,4,1,12.3
7.77,48,3,0,6.8
7.6,76,1,1,12.6
9.12,70,5,1,16.2
7.56,75,3,1,14.3
8.28,85,5,1,18.6
8.6,69,5,1,14.7
