CGPA,Coding_Score,Communication_Score,Aptitude_Score,Projects_Count,Certifications_Count,Internship,Placement_Status
8.5,85,80,78,4,3,1,1
7.2,65,70,68,2,1,0,1
6.0,40,50,45,1,0,0,0
9.1,92,88,90,5,4,1,1
5.8,35,42,40,0,0,0,0
8.0,75,72,70,3,2,1,1
6.5,50,55,52,1,1,0,0
8.8,90,85,87,5,3,1,1
7.0,60,65,63,2,1,0,1
5.5,30,40,35,0,0,0,0
6.8,77,70,83,6,3,1,1
6.46,65,65,43,3,2,0,0
5.96,47,55,39,3,2,1,0
5.17,76,25,61,2,1,0,0
9.51,100,71,79,9,4,1,1
6.35,49,51,62,3,2,0,0
6.59,37,44,41,5,3,0,0
8.7,70,68,62,7,5,1,1
9.36,96,63,64,8,7,1,1
9.28,88,83,85,8,5,1,1
5.03,28,25,25,2,3,0,0
9.62,83,65,56,9,8,1,1
9.36,78,76,84,9,7,1,1
8.04,62,48,59,6,4,1,1
7.46,48,76,52,4,5,0,0
7.54,47,30,47,6,3,0,0
8.08,67,43,68,7,3,1,1
6.56,71,66,78,4,3,1,1
9.67,88,100,91,10,8,1,1
8.1,56,80,82,5,4,0,1
5.81,55,57,50,2,3,0,0
6.73,63,71,76,5,8,0,0
8.37,77,78,66,7,8,1,1
5.15,25,40,29,0,2,0,0
5.25,73,60,53,3,2,0,1
5.12,65,42,64,2,1,0,0
8.17,94,82,96,7,6,1,1
7.36,75,25,38,5,3,1,1
7.42,62,57,62,5,4,1,1
7.2,73,81,82,6,4,1,1
9.06,64,78,83,8,7,1,1
8.6,91,61,68,9,5,1,1
8.6,98,68,92,8,5,1,1
6.41,61,71,77,4,3,1,1
7.12,61,44,48,5,3,1,0
8.39,61,76,70,6,5,0,1
7.04,71,30,53,4,3,0,1
6.37,83,46,82,5,2,0,1
8.02,100,59,100,7,4,1,1
7.8,54,51,61,4,4,0,0
9.56,74,100,100,8,5,0,1
9.02,96,72,89,9,6,1,1
